model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
Decision Tree,0.012831497192382812,0.006424072878126519,0.0455571174621582,0.011423373744414657,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.91796875,0.87109375,0.87890625,0.85546875,0.875,0.8796875,0.020728904939721248,151,0.9652173913043478,0.9130434782608695,0.8818897637795275,0.8888888888888888,0.9067796610169492,0.9111638366501167,0.029317863017359492,167,0.8671875,0.8203125,0.875,0.8125,0.8359375,0.8421875,0.024902152266420667,21,0.9135802469135802,0.8641975308641975,0.8784313725490196,0.8489795918367347,0.8699186991869918,0.8750214882701048,0.02153964743963739,145,0.9439697265625,0.9205322265625,0.936126708984375,0.899169921875,0.93475341796875,0.926910400390625,0.015796766301506508,139,,gini,,1.0,10.0
Decision Tree,0.00550079345703125,0.0008836463124602522,0.053727006912231444,0.0452837272790844,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.90234375,0.87890625,0.89453125,0.859375,0.87109375,0.88125,0.015546678704790937,135,0.9478260869565217,0.9369369369369369,0.9243697478991597,0.9107142857142857,0.9130434782608695,0.9265781071535546,0.014131566514046286,113,0.8515625,0.8125,0.859375,0.796875,0.8203125,0.828125,0.023696485762661094,113,0.897119341563786,0.8702928870292888,0.8906882591093117,0.85,0.8641975308641975,0.8744596037133169,0.0173076679902986,149,0.93084716796875,0.920806884765625,0.94268798828125,0.889984130859375,0.926483154296875,0.922161865234375,0.01762198803576729,155,,gini,,2.0,2.0
Decision Tree,0.005495882034301758,0.0007525551168800424,0.05849370956420898,0.03572718879781382,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.91015625,0.859375,0.89453125,0.85546875,0.875,0.87890625,0.02081705092886598,157,0.9646017699115044,0.896551724137931,0.9243697478991597,0.8956521739130435,0.9137931034482759,0.918993703861983,0.025236930309458058,131,0.8515625,0.8125,0.859375,0.8046875,0.828125,0.83125,0.0213096589015404,75,0.9045643153526971,0.8524590163934426,0.8906882591093117,0.8477366255144033,0.8688524590163934,0.8728601350772497,0.021846990168692043,161,0.93798828125,0.918548583984375,0.943145751953125,0.892425537109375,0.932861328125,0.924993896484375,0.01823447536189188,145,,gini,,2.0,5.0
Decision Tree,0.0054901123046875,0.0005879554607336238,0.03688058853149414,0.012474641921787965,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.91796875,0.875,0.89453125,0.8515625,0.875,0.8828125,0.022234764798058918,125,0.9652173913043478,0.9210526315789473,0.9173553719008265,0.8813559322033898,0.9067796610169492,0.918352197600892,0.027229688365303383,133,0.8671875,0.8203125,0.8671875,0.8125,0.8359375,0.840625,0.022963966338592292,31,0.9135802469135802,0.8677685950413223,0.891566265060241,0.8455284552845529,0.8699186991869918,0.8776724522973376,0.023125100506136236,125,0.94384765625,0.924591064453125,0.95098876953125,0.903656005859375,0.93841552734375,0.9322998046875,0.016732747733446494,85,,gini,,2.0,10.0
Decision Tree,0.006932306289672852,0.0017016688942513862,0.06027851104736328,0.029898069831647677,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.9140625,0.875,0.9140625,0.8515625,0.8828125,0.8875,0.0240035804620894,63,0.9649122807017544,0.9210526315789473,0.9491525423728814,0.8813559322033898,0.9298245614035088,0.9292595896520963,0.02838759481848046,97,0.859375,0.8203125,0.875,0.8125,0.828125,0.8390625,0.0240035804620894,33,0.9090909090909091,0.8677685950413223,0.9105691056910569,0.8455284552845529,0.8760330578512396,0.8817980245918162,0.024972857444299435,43,0.9517822265625,0.937286376953125,0.96734619140625,0.9114990234375,0.93695068359375,0.940972900390625,0.01849794646412991,31,,gini,,5.0,2.0
Decision Tree,0.005330705642700195,0.00039877822264232897,0.05763587951660156,0.012879526732138423,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.9140625,0.875,0.9140625,0.8515625,0.8828125,0.8875,0.0240035804620894,63,0.9649122807017544,0.9210526315789473,0.9491525423728814,0.8813559322033898,0.9298245614035088,0.9292595896520963,0.02838759481848046,97,0.859375,0.8203125,0.875,0.8125,0.828125,0.8390625,0.0240035804620894,33,0.9090909090909091,0.8677685950413223,0.9105691056910569,0.8455284552845529,0.8760330578512396,0.8817980245918162,0.024972857444299435,43,0.9517822265625,0.937286376953125,0.96734619140625,0.9114990234375,0.93695068359375,0.940972900390625,0.01849794646412991,31,,gini,,5.0,5.0
Decision Tree,0.005671787261962891,0.0004178733917270037,0.032589960098266604,0.007029830483593886,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.9140625,0.875,0.9140625,0.8515625,0.8828125,0.8875,0.0240035804620894,63,0.9649122807017544,0.9210526315789473,0.9491525423728814,0.8813559322033898,0.9298245614035088,0.9292595896520963,0.02838759481848046,97,0.859375,0.8203125,0.875,0.8125,0.828125,0.8390625,0.0240035804620894,33,0.9090909090909091,0.8677685950413223,0.9105691056910569,0.8455284552845529,0.8760330578512396,0.8817980245918162,0.024972857444299435,43,0.9517822265625,0.937286376953125,0.96734619140625,0.9114990234375,0.93695068359375,0.940972900390625,0.01849794646412991,31,,gini,,5.0,10.0
Decision Tree,0.006161403656005859,0.0012182853212589363,0.10591521263122558,0.042514069953723664,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9140625,0.87109375,0.91796875,0.875,0.875,0.890625,0.02081705092886598,19,0.9649122807017544,0.9523809523809523,0.9572649572649573,0.9444444444444444,0.9615384615384616,0.9561082192661141,0.007187116712851194,19,0.859375,0.78125,0.875,0.796875,0.78125,0.81875,0.04026280852101602,163,0.9090909090909091,0.8583690987124464,0.9142857142857143,0.864406779661017,0.8620689655172413,0.8816442934534656,0.024661058775670847,55,0.94830322265625,0.934326171875,0.946868896484375,0.89910888671875,0.9161376953125,0.928948974609375,0.01886363957693359,117,,gini,3,1.0,2.0
Decision Tree,0.012795639038085938,0.007833558151396709,0.26984076499938964,0.08883202141672882,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9140625,0.87109375,0.91796875,0.875,0.875,0.890625,0.02081705092886598,19,0.9649122807017544,0.9523809523809523,0.9572649572649573,0.9444444444444444,0.9615384615384616,0.9561082192661141,0.007187116712851194,19,0.859375,0.78125,0.875,0.796875,0.78125,0.81875,0.04026280852101602,163,0.9090909090909091,0.8583690987124464,0.9142857142857143,0.864406779661017,0.8620689655172413,0.8816442934534656,0.024661058775670847,55,0.94830322265625,0.934326171875,0.946868896484375,0.89910888671875,0.9161376953125,0.928948974609375,0.01886363957693359,117,,gini,3,1.0,5.0
Decision Tree,0.09836206436157227,0.04507863468487888,0.23270325660705565,0.0194676917200538,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9140625,0.87109375,0.91796875,0.875,0.875,0.890625,0.02081705092886598,19,0.9649122807017544,0.9523809523809523,0.9572649572649573,0.9444444444444444,0.9615384615384616,0.9561082192661141,0.007187116712851194,19,0.859375,0.78125,0.875,0.796875,0.78125,0.81875,0.04026280852101602,163,0.9090909090909091,0.8583690987124464,0.9142857142857143,0.864406779661017,0.8620689655172413,0.8816442934534656,0.024661058775670847,55,0.94830322265625,0.934326171875,0.946868896484375,0.89910888671875,0.9161376953125,0.928948974609375,0.01886363957693359,117,,gini,3,1.0,10.0
